,analyze_and_understand_data_to_influence_product_or_business_decisions,build_the_data_infrastructure_that_my_business_uses_for_storing_analyzing_and_operationalizing_data,build_prototypes_to_explore_applying_machine_learning_to_new_areas,build_a_machine_learning_service_that_operationally_improves_my_product_or_workflows,experimentation_and_iteration_to_improve_existing_ml_models,do_research_that_advances_the_state_of_the_art_of_machine_learning,none_of_these_activities_are_an_important_part_of_my_role_at_work,what_is_the_primary_tool_that_you_use_at_work_or_school_to_analyze_data,highest_level_of_formal_education,job_title,yearly_compensation,does_your_current_employer_incorporate_machine_learning_methods_into_their_business
11600,Analyze and understand data to influence product or business decisions,,,,,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"10,000-14,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11601,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"100,000-124,999",We are exploring ML methods (and may one day put a model into production)
11602,,,,,,,,Other,Bachelor’s degree,Software Engineer,"15,000-19,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11603,,,,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Master’s degree,Data Scientist,"30,000-39,999",No (we do not use ML methods)
11604,,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"20,000-24,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11605,Analyze and understand data to influence product or business decisions,,,,,,,,Bachelor’s degree,Business Analyst,"7,500-9,999",We use ML methods for generating insights (but do not put working models into production)
11606,Analyze and understand data to influence product or business decisions,,,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"20,000-24,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11607,,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"40,000-49,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11608,,,,,,,,,Bachelor’s degree,Data Scientist,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
11609,Analyze and understand data to influence product or business decisions,,,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Software Engineer,$0-999,We are exploring ML methods (and may one day put a model into production)
11610,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Data Scientist,"125,000-149,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11611,,,,,,Do research that advances the state of the art of machine learning,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Research Scientist,"10,000-14,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11612,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Advanced statistical software (SPSS, SAS, etc.)",Bachelor’s degree,Data Analyst,"5,000-7,499",We are exploring ML methods (and may one day put a model into production)
11613,,,,,,,,,Bachelor’s degree,Software Engineer,,
11614,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"100,000-124,999",I do not know
11615,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",No formal education past high school,Software Engineer,$0-999,I do not know
11616,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"15,000-19,999",No (we do not use ML methods)
11617,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"20,000-24,999",I do not know
11618,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Software Engineer,"70,000-79,999",I do not know
11619,,,,,,,,,Master’s degree,Business Analyst,,We use ML methods for generating insights (but do not put working models into production)
11620,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",I prefer not to answer,Product/Project Manager,"25,000-29,999",No (we do not use ML methods)
11621,,,,,,,,,Master’s degree,Data Engineer,,We use ML methods for generating insights (but do not put working models into production)
11622,,,,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"1,000-1,999",We are exploring ML methods (and may one day put a model into production)
11623,Analyze and understand data to influence product or business decisions,,,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Master’s degree,Data Scientist,"3,000-3,999",We are exploring ML methods (and may one day put a model into production)
11624,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Engineer,"5,000-7,499","We have well established ML methods (i.e., models in production for more than 2 years)"
11625,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"7,500-9,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11626,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Professional degree,Data Scientist,$0-999,We are exploring ML methods (and may one day put a model into production)
11627,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"50,000-59,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11628,,,,,,Do research that advances the state of the art of machine learning,,,Doctoral degree,Data Scientist,"4,000-4,999",We are exploring ML methods (and may one day put a model into production)
11629,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"40,000-49,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11630,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,Do research that advances the state of the art of machine learning,,,Master’s degree,Data Engineer,"30,000-39,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11631,,,,,,,,,Master’s degree,Data Scientist,,
11632,,,,,,,,,Master’s degree,Data Analyst,,We are exploring ML methods (and may one day put a model into production)
11633,,,,,,,,,Bachelor’s degree,Software Engineer,,
11634,,,,,,,,,Master’s degree,Software Engineer,,We are exploring ML methods (and may one day put a model into production)
11635,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Doctoral degree,Data Analyst,"30,000-39,999",We are exploring ML methods (and may one day put a model into production)
11636,,,,,,,,,Master’s degree,Data Analyst,,
11637,,,,,,,,,Bachelor’s degree,Data Engineer,,
11638,Analyze and understand data to influence product or business decisions,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,$0-999,We are exploring ML methods (and may one day put a model into production)
11639,Analyze and understand data to influence product or business decisions,,,,,,,,Doctoral degree,Data Scientist,,"We have well established ML methods (i.e., models in production for more than 2 years)"
11640,,,,,,,None of these activities are an important part of my role at work,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",No formal education past high school,Software Engineer,"1,000-1,999",We are exploring ML methods (and may one day put a model into production)
11641,,,,,,,,,Master’s degree,Software Engineer,,We are exploring ML methods (and may one day put a model into production)
11642,,,,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"40,000-49,999",We are exploring ML methods (and may one day put a model into production)
11643,,,,,,,,Other,Bachelor’s degree,Data Analyst,"10,000-14,999",No (we do not use ML methods)
11644,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"7,500-9,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11645,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Some college/university study without earning a bachelor’s degree,Software Engineer,"80,000-89,999",We use ML methods for generating insights (but do not put working models into production)
11646,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Bachelor’s degree,Data Analyst,"5,000-7,499","We recently started using ML methods (i.e., models in production for less than 2 years)"
11647,,,,,Experimentation and iteration to improve existing ML models,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Doctoral degree,Research Scientist,"40,000-49,999",We use ML methods for generating insights (but do not put working models into production)
11648,Analyze and understand data to influence product or business decisions,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"50,000-59,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11649,,,,,,,,,Doctoral degree,Research Scientist,,
11650,,,,,,,,,Master’s degree,Research Scientist,,
11651,Analyze and understand data to influence product or business decisions,,,,,,,,Bachelor’s degree,Data Analyst,"30,000-39,999",We are exploring ML methods (and may one day put a model into production)
11652,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Software Engineer,"25,000-29,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11653,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Data Engineer,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
11654,,,,,,,,,Master’s degree,Research Scientist,,
11655,,,,,,,,,Master’s degree,Software Engineer,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
11656,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"20,000-24,999",We are exploring ML methods (and may one day put a model into production)
11657,,,,,,,,,Bachelor’s degree,Software Engineer,,
11658,Analyze and understand data to influence product or business decisions,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Analyst,"10,000-14,999",We use ML methods for generating insights (but do not put working models into production)
11659,,,,,,,,,Doctoral degree,Research Scientist,"30,000-39,999",I do not know
11660,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"30,000-39,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11661,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Bachelor’s degree,Data Scientist,"7,500-9,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11662,,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Data Scientist,$0-999,We use ML methods for generating insights (but do not put working models into production)
11663,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Data Scientist,"60,000-69,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11664,,,,,,,,,Bachelor’s degree,Software Engineer,$0-999,No (we do not use ML methods)
11665,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"80,000-89,999",We use ML methods for generating insights (but do not put working models into production)
11666,,,,,,,,,Doctoral degree,Research Scientist,,
11667,,,,,,,,,Master’s degree,Data Analyst,$0-999,No (we do not use ML methods)
11668,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"60,000-69,999",We use ML methods for generating insights (but do not put working models into production)
11669,,,,,,,,,Master’s degree,Research Scientist,,
11670,,,,,,,,,Master’s degree,Data Scientist,,We are exploring ML methods (and may one day put a model into production)
11671,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,Doctoral degree,Data Analyst,"15,000-19,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11672,,,,,,,,,Bachelor’s degree,Software Engineer,,We use ML methods for generating insights (but do not put working models into production)
11673,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Data Scientist,"15,000-19,999",No (we do not use ML methods)
11674,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,"125,000-149,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11675,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"3,000-3,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11676,,,,,,,,Other,Master’s degree,Data Scientist,"60,000-69,999",I do not know
11677,,,,,,,,,Master’s degree,Business Analyst,,
11678,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Doctoral degree,Business Analyst,"40,000-49,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11679,,,,,,,,Other,Bachelor’s degree,Software Engineer,"100,000-124,999",No (we do not use ML methods)
11680,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,"20,000-24,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11681,,,,,,Do research that advances the state of the art of machine learning,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Data Scientist,"1,000-1,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11682,,,,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"60,000-69,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11683,,,Build prototypes to explore applying machine learning to new areas,,,Do research that advances the state of the art of machine learning,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Software Engineer,"15,000-19,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11684,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"1,000-1,999",No (we do not use ML methods)
11685,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Business Analyst,"25,000-29,999",No (we do not use ML methods)
11686,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,Master’s degree,Software Engineer,"200,000-249,999",We are exploring ML methods (and may one day put a model into production)
11687,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,$0-999,We are exploring ML methods (and may one day put a model into production)
11688,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"125,000-149,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11689,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"80,000-89,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11690,,,,,,,None of these activities are an important part of my role at work,,Doctoral degree,Data Scientist,"60,000-69,999",We are exploring ML methods (and may one day put a model into production)
11691,,,,,,,,,Master’s degree,Software Engineer,"50,000-59,999",No (we do not use ML methods)
11692,,,,,,,,,Master’s degree,Business Analyst,,I do not know
11693,,,,,,,,,Master’s degree,Data Scientist,,
11694,Analyze and understand data to influence product or business decisions,,,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Data Scientist,"1,000-1,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11695,,,,,,,,,Master’s degree,Research Scientist,,
11696,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"15,000-19,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11697,Analyze and understand data to influence product or business decisions,,,,Experimentation and iteration to improve existing ML models,,,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Data Analyst,"5,000-7,499","We recently started using ML methods (i.e., models in production for less than 2 years)"
11698,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,Bachelor’s degree,Data Scientist,$0-999,We use ML methods for generating insights (but do not put working models into production)
11699,,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"15,000-19,999",We are exploring ML methods (and may one day put a model into production)
11700,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,I prefer not to answer,Data Analyst,"5,000-7,499","We have well established ML methods (i.e., models in production for more than 2 years)"
11701,Analyze and understand data to influence product or business decisions,,,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Bachelor’s degree,Data Scientist,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
11702,,,,,,,,,Master’s degree,Data Scientist,,
11703,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"20,000-24,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11704,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,I prefer not to answer,Data Scientist,"100,000-124,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11705,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Research Scientist,"2,000-2,999",I do not know
11706,,,,,,,,,Master’s degree,Software Engineer,,No (we do not use ML methods)
11707,Analyze and understand data to influence product or business decisions,,,,,Do research that advances the state of the art of machine learning,,,Professional degree,Data Scientist,"150,000-199,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11708,,,,,,,,,Bachelor’s degree,Data Analyst,,
11709,,,,,,,,,Master’s degree,Business Analyst,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
11710,,,,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Professional degree,Data Scientist,"4,000-4,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11711,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Some college/university study without earning a bachelor’s degree,Data Analyst,$0-999,No (we do not use ML methods)
11712,,,,,,,,,Master’s degree,Data Analyst,,We use ML methods for generating insights (but do not put working models into production)
11713,,,,,,,,,Some college/university study without earning a bachelor’s degree,Data Scientist,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
11714,,,,,,,,,Bachelor’s degree,Data Scientist,$0-999,No (we do not use ML methods)
11715,,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Bachelor’s degree,Software Engineer,"10,000-14,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11716,,,,,,,,,Master’s degree,Business Analyst,"10,000-14,999",No (we do not use ML methods)
11717,,,,,,,None of these activities are an important part of my role at work,,Master’s degree,Business Analyst,"5,000-7,499","We recently started using ML methods (i.e., models in production for less than 2 years)"
11718,,,,,,,,,Doctoral degree,Research Scientist,,
11719,,,,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,Master’s degree,Data Scientist,"25,000-29,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11720,,,,,,,,,Master’s degree,Business Analyst,,We use ML methods for generating insights (but do not put working models into production)
11721,,,,,,,,,I prefer not to answer,Software Engineer,$0-999,No (we do not use ML methods)
11722,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,Experimentation and iteration to improve existing ML models,,,,Bachelor’s degree,Software Engineer,"50,000-59,999",We are exploring ML methods (and may one day put a model into production)
11723,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"50,000-59,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11724,Analyze and understand data to influence product or business decisions,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Business Analyst,"15,000-19,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11725,,,,,,,,,Bachelor’s degree,Data Scientist,,We are exploring ML methods (and may one day put a model into production)
11726,,,,,,,,,Bachelor’s degree,Software Engineer,"30,000-39,999",No (we do not use ML methods)
11727,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,Other,Master’s degree,Data Scientist,"3,000-3,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11728,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,Bachelor’s degree,Data Analyst,,"We have well established ML methods (i.e., models in production for more than 2 years)"
11729,,,,,,,,,Master’s degree,Business Analyst,$0-999,No (we do not use ML methods)
11730,,,,,,,,,Doctoral degree,Research Scientist,,No (we do not use ML methods)
11731,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,Master’s degree,Data Scientist,$0-999,We are exploring ML methods (and may one day put a model into production)
11732,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Software Engineer,"5,000-7,499",No (we do not use ML methods)
11733,,,,,,,,,Master’s degree,Data Analyst,,
11734,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",I prefer not to answer,Software Engineer,"40,000-49,999",No (we do not use ML methods)
11735,,,,,,,,,Master’s degree,Business Analyst,$0-999,I do not know
11736,,,,,,,,,Master’s degree,Data Scientist,,"We have well established ML methods (i.e., models in production for more than 2 years)"
11737,,,,,,,,,Master’s degree,Data Engineer,,
11738,,,,,,,,,Some college/university study without earning a bachelor’s degree,Data Analyst,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
11739,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Some college/university study without earning a bachelor’s degree,Software Engineer,"2,000-2,999",We are exploring ML methods (and may one day put a model into production)
11740,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,Experimentation and iteration to improve existing ML models,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Professional degree,Software Engineer,"70,000-79,999",We are exploring ML methods (and may one day put a model into production)
11741,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,,Bachelor’s degree,Data Scientist,"100,000-124,999",We are exploring ML methods (and may one day put a model into production)
11742,,,,,,,,,Doctoral degree,Data Analyst,,
11743,Analyze and understand data to influence product or business decisions,,,,,,,Other,Bachelor’s degree,Data Scientist,"5,000-7,499","We recently started using ML methods (i.e., models in production for less than 2 years)"
11744,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,Bachelor’s degree,Data Scientist,$0-999,We are exploring ML methods (and may one day put a model into production)
11745,,,,,,,,Other,Master’s degree,Software Engineer,"> $500,000",I do not know
11746,,,,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,Bachelor’s degree,Data Scientist,"25,000-29,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11747,,,,,Experimentation and iteration to improve existing ML models,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Data Scientist,"7,500-9,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11748,,,,,,,,,Master’s degree,Data Scientist,,We are exploring ML methods (and may one day put a model into production)
